ID,店舗名,住所,優先度,検索クエリ1,検索クエリ2,食べログURL
85823106-2a8a-4951-a97f-d630ad5220c4,"Hohokam DINER（ホホカムダイナー）","東京都渋谷区神宮前1-14-21",23,"Hohokam DINER（ホホカムダイナー） 食べログ site:tabelog.com","Hohokam DINER ホホカムダイナー  tabelog",
5d8315f8-5312-4add-a786-88cdd5ef463e,"JUNKY SPECIAL（歌舞伎町）","〒160-0021 東京都新宿区歌舞伎町2-46-5",23,"JUNKY SPECIAL（歌舞伎町） 食べログ site:tabelog.com","JUNKY SPECIAL 歌舞伎町  tabelog",
4597d0e6-9e75-46c0-9ef1-88724fba6233,"Mystery Circus","東京都渋谷区恵比寿西1-27-5",23,"Mystery Circus 食べログ site:tabelog.com","Mystery Circus tabelog",
fded605e-c687-4379-ba39-b09c15880c6f,"NoEscape 新宿店","東京都渋谷区代々木3-46-16 小野木ビル5F",23,"NoEscape 新宿店 食べログ site:tabelog.com","NoEscape 新宿店 tabelog",
18ca6ca1-129c-4889-95ea-ce275529bb34,"OVERRIDE 神宮前","東京都渋谷区神宮前6丁目18-11 明治ビルディング",23,"OVERRIDE 神宮前 食べログ site:tabelog.com","OVERRIDE 神宮前 tabelog",
26a449d5-baae-4d53-b4cc-bd9989d8940a,"Pablo 表参道店","東京都渋谷区神宮前4-8-6",23,"Pablo 表参道店 食べログ site:tabelog.com","Pablo 表参道店 tabelog",
3cd3559e-f94d-4a35-9271-5c326576807a,"Paul Bassett 新宿","東京都新宿区西新宿1-1-3 小田急百貨店新宿店本館2F",23,"Paul Bassett 新宿 食べログ site:tabelog.com","Paul Bassett 新宿 tabelog",
66f6832a-769e-443f-80dd-c67f165e8e27,"Paul Bassett 新宿店","東京都新宿区西新宿1-1-3 小田急百貨店新宿店本館12F",23,"Paul Bassett 新宿店 食べログ site:tabelog.com","Paul Bassett 新宿店 tabelog",
7b70b954-6eea-4966-9c5e-789ed8f86b06,"SHISEIDO THE STORE","東京都中央区銀座8-8-3",23,"SHISEIDO THE STORE 食べログ site:tabelog.com","SHISEIDO THE STORE tabelog",
202fbb77-5aa0-4e92-a1e6-f9bdf0a368a0,"Travis Japan Wall（トラジャ壁）","東京都渋谷区八幡町14-10",23,"Travis Japan Wall（トラジャ壁） 食べログ site:tabelog.com","Travis Japan Wall トラジャ壁  tabelog",
855d480a-120e-4b3d-8dba-8ba1806b5b21,"Wagaya no Shokudo","東京都渋谷区桜丘町8-23-5",23,"Wagaya no Shokudo 食べログ site:tabelog.com","Wagaya no Shokudo tabelog",
42a7c553-0e84-4bb6-8f00-4bc619e33282,"アドアーズ渋谷店","東京都渋谷区宇田川町13-11 KN渋谷1ビル 1-4F",23,"アドアーズ渋谷店 食べログ site:tabelog.com","アドアーズ渋谷店 tabelog",
48e1b64d-2677-4e27-ae1c-69da5313baa0,"キッチン南国","東京都新宿区戸塚町1-101",23,"キッチン南国 食べログ site:tabelog.com","キッチン南国 tabelog",
0d06e133-eea2-4910-b9a9-8754b0c9a97e,"ギンザシックス","〒104-0061 東京都中央区銀座6-10-1",23,"ギンザシックス 食べログ site:tabelog.com","ギンザシックス tabelog",
3ce0da78-2c68-4a5d-9a4c-40bafb0f0a19,"くらやみ遊園地 新宿南口ゲームワールド店","東京都新宿区新宿3-35-8 タイトーステーション 新宿南口ゲームワールド店 B2",23,"くらやみ遊園地 新宿南口ゲームワールド店 食べログ site:tabelog.com","くらやみ遊園地 新宿南口ゲームワールド店 tabelog",
9013ed0c-888e-46ea-b055-c28b296fe85c,"ゴールドラッシュ渋谷本店","東京都渋谷区宇田川町4-7",23,"ゴールドラッシュ渋谷本店 食べログ site:tabelog.com","ゴールドラッシュ渋谷本店 tabelog",
db16e322-193b-460e-96a3-06cdd2c34159,"すき家 渋谷道玄坂店","東京都渋谷区道玄坂2-25-10",23,"すき家 渋谷道玄坂店 食べログ site:tabelog.com","すき家 渋谷道玄坂店 tabelog",
d24e07d8-5095-491e-a53e-b0e5c578d365,"スタージュエリー銀座店","〒104-0061 東京都中央区銀座6-8-3",23,"スタージュエリー銀座店 食べログ site:tabelog.com","スタージュエリー銀座店 tabelog",
4454e9ab-1357-4cc2-b5ef-95c54652642c,"スターバックス コーヒー 渋谷スカイ店","東京都渋谷区渋谷2-24-12 渋谷スカイ14階",23,"スターバックス コーヒー 渋谷スカイ店 食べログ site:tabelog.com","スターバックス コーヒー 渋谷スカイ店 tabelog",
6ae0f3d4-c6cc-461e-afbb-1d069d1efae1,"スパイシー カレー 魯珈（ろか）","東京都新宿区神楽坂5-1-2 神楽坂TNヒルズ1F",23,"スパイシー カレー 魯珈（ろか） 食べログ site:tabelog.com","スパイシー カレー 魯珈 ろか  tabelog",
7b433da8-0c9b-4909-8488-3923964a4d75,"スパイシーカレー魯珈","東京都新宿区大久保2-32-2",23,"スパイシーカレー魯珈 食べログ site:tabelog.com","スパイシーカレー魯珈 tabelog",
ea751113-58f9-480f-9b5d-e5e19346af2f,"タワーレコード渋谷店","東京都渋谷区神南1-22-14",23,"タワーレコード渋谷店 食べログ site:tabelog.com","タワーレコード渋谷店 tabelog",
7d7873c7-3727-4142-869a-526c4e34560f,"ティファニー銀座本店","〒104-0061 東京都中央区銀座2-7-17",23,"ティファニー銀座本店 食べログ site:tabelog.com","ティファニー銀座本店 tabelog",
dbce75d8-b07d-4035-ac97-681a33ed4349,"ヒルトン東京 マーブルラウンジ","東京都新宿区西新宿6-6-2 ヒルトン東京1F",23,"ヒルトン東京 マーブルラウンジ 食べログ site:tabelog.com","ヒルトン東京 マーブルラウンジ tabelog",
f58e2f4b-1549-49c1-aa29-6fc5b8646a10,"ヒルトン東京 マーブルラウンジ","東京都新宿区西新宿6-6-2 ヒルトン東京1F",23,"ヒルトン東京 マーブルラウンジ 食べログ site:tabelog.com","ヒルトン東京 マーブルラウンジ tabelog",
1484c927-06ed-4e01-b8df-017445716f4b,"ヒルトン東京マーブルラウンジ（西新宿）","〒160-0023 東京都新宿区西新宿6-6-2",23,"ヒルトン東京マーブルラウンジ（西新宿） 食べログ site:tabelog.com","ヒルトン東京マーブルラウンジ 西新宿  tabelog",
c57e0996-e886-49b2-9298-01560c508c77,"ポール・ボキューズ 西新宿店","東京都新宿区西新宿1-26-2 新宿野村ビル48階",23,"ポール・ボキューズ 西新宿店 食べログ site:tabelog.com","ポール・ボキューズ 西新宿店 tabelog",
450c67c9-a8ab-4fdc-9128-f9a0f7793b53,"ユザワヤ新宿本店","東京都新宿区新宿3-23-17",23,"ユザワヤ新宿本店 食べログ site:tabelog.com","ユザワヤ新宿本店 tabelog",
